url,route_file,page_type,indexable,canonical_correct,rendered_html,page_purpose,search_intent,direct_answer_present,h1_count,structured_data_types,schema_duplicate_issue,internal_links_approx,author_reviewer_shown,last_reviewed_shown,content_uniqueness,brand_consistency,score_discoverability,score_answer_clarity,score_factual_trust,score_content_uniqueness,score_citation_readiness,critical_issues,high_issues,top_issue_summary
/delete-pages,src/app/delete-pages/page.tsx,PDF tool,yes,yes,SSR-complete,Remove selected pages from a PDF,delete pages from pdf online,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,5,no,no,near-duplicate (templated cluster),consistent,80,82,70,61,61,1,0,Duplicate schema; templated whatIs/FAQ shared across cluster
/add-page-numbers,src/app/add-page-numbers/page.tsx,PDF tool,yes,yes,SSR-complete,Stamp sequential page numbers on a PDF,add page numbers to pdf online,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,6,no,no,"near-duplicate (templated cluster, best disambiguation)",consistent,81,83,71,68,65,1,0,Duplicate schema; templated cluster but strong disambiguation vs pdf-page-labels
/pdf-page-labels,src/app/pdf-page-labels/page.tsx,PDF tool,yes,yes,SSR-complete,Edit PDF PageLabels number tree for viewer navigation,pdf page labels roman numerals,yes,1,"FAQPage,BreadcrumbList,SoftwareApplication,HowTo",no,5,no,no,"unique (bespoke, not templated)",consistent,85,88,90,88,85,0,0,"REFERENCE IMPLEMENTATION - correctly fixed single-schema-source page, model for the rest of the site"
/pdf-password-lock,src/app/pdf-password-lock/page.tsx,PDF tool,yes,yes,SSR-complete,AES-256 password/permissions lock for a PDF,password protect a pdf,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,4,no,no,unique,consistent,88,55,25,85,30,2,0,"WORST FACTUAL-TRUST FINDING: toolSeoData.ts FAQ/JSON-LD claims server-side ""uploaded over HTTPS...deleted afterward"" processing for a 100% client-side WebAssembly tool - contradicts page's own UI copy, layout schema, and routes.ts; also carries the same WebApplication+SoftwareApplication duplicate-schema pattern found across the site"
/pdf-unlock,src/app/pdf-unlock/page.tsx,PDF tool,yes,yes,SSR-complete,Remove a known password from an authorized PDF,unlock a pdf,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,5,no,no,unique,consistent,88,85,90,85,82,1,0,Legality well-handled with mandatory ownership checkbox and no-cracking disclaimer; carries the site-wide WebApplication+SoftwareApplication duplicate-schema pattern
/pdf-repair,src/app/pdf-repair/page.tsx,PDF tool,yes,yes,SSR-complete,Rebuild recoverable structural damage in a PDF,repair a corrupted pdf,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,5,no,no,unique,consistent,85,85,90,85,82,1,0,Honest limitations disclosed; carries the site-wide WebApplication+SoftwareApplication duplicate-schema pattern
/pdf-flatten,src/app/pdf-flatten/page.tsx,PDF tool,yes,yes,SSR-complete,Make form fields or full page content permanent,flatten a pdf form,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,5,no,no,unique,consistent,82,88,90,88,85,1,0,Correctly explains two-mode tradeoff and signature-invalidation caveat; carries the site-wide WebApplication+SoftwareApplication duplicate-schema pattern
/pdf-compare,src/app/pdf-compare/page.tsx,PDF tool,yes,yes,SSR-complete,Detect visual/textual differences between two PDFs,compare two pdf files,yes,1,"FAQPage,BreadcrumbList,SoftwareApplication,HowTo",no,4,no,no,unique,consistent,80,85,88,88,82,0,0,Clean
/remove-pdf-metadata,src/app/remove-pdf-metadata/page.tsx,PDF tool,yes,yes,SSR-complete,Strip Info/XMP metadata and document IDs,remove metadata from a pdf,yes,1,"FAQPage,BreadcrumbList,SoftwareApplication,HowTo",no,4,no,no,unique,consistent,80,90,90,90,88,0,0,Clean - proactively distinguishes itself from redaction
/extract-pdf-attachments,src/app/extract-pdf-attachments/page.tsx,PDF tool,yes,yes,SSR-complete,Find/download files embedded inside a PDF,extract embedded files from pdf,yes,1,"FAQPage,BreadcrumbList,SoftwareApplication,HowTo",no,4,no,no,unique-but-templated (extract-* family),consistent,78,85,88,78,80,0,0,Clean - good malware-safety caveat
/extract-pdf-images,src/app/extract-pdf-images/page.tsx,PDF tool,yes,yes,SSR-complete,Recover embedded bitmap images as lossless PNGs,extract images from a pdf,yes,1,"FAQPage,BreadcrumbList,SoftwareApplication,HowTo",no,4,no,no,unique-but-templated (extract-* family),consistent,80,90,88,82,85,0,0,Clean - excellent self-disambiguation vs PDF to Images
/export-pdf-form-data,src/app/export-pdf-form-data/page.tsx,PDF tool,yes,yes,SSR-complete,Export AcroForm field data to CSV/JSON,export pdf form data to csv,yes,1,"FAQPage,BreadcrumbList,SoftwareApplication,HowTo",no,5,no,no,unique,consistent,76,88,90,90,85,0,0,Clean - explains CSV-injection protection and signature-field scope
/extract-pdf-bookmarks,src/app/extract-pdf-bookmarks/page.tsx,PDF tool,yes,yes,SSR-complete,Read PDF outline hierarchy and export as CSV/JSON,export pdf bookmarks to csv,yes,1,"FAQPage,BreadcrumbList,SoftwareApplication,HowTo",no,4,no,no,unique-but-templated (extract-* family),consistent,76,85,88,82,82,0,0,Minor: doesn't explicitly point readers to pdf-bookmarks-manager for editing
/pdf-bookmarks-manager,src/app/pdf-bookmarks-manager/page.tsx,PDF tool,yes,yes,SSR-complete,Add/rename/nest/reorder/delete PDF bookmarks,add or edit bookmarks in a pdf,yes,1,"FAQPage,BreadcrumbList,SoftwareApplication,HowTo",no,4,no,no,unique,consistent,76,88,90,88,84,0,0,Clean - honest about cross-parent drag-and-drop limitation
/extract-pdf-links,src/app/extract-pdf-links/page.tsx,PDF tool,yes,yes,SSR-complete,Audit clickable links in a PDF without opening targets,extract links from a pdf,yes,1,"FAQPage,BreadcrumbList,SoftwareApplication,HowTo",no,5,no,no,unique-but-templated (extract-* family),consistent,76,88,88,82,84,0,0,Clean - security-conscious framing
/remove-pdf-links,src/app/remove-pdf-links/page.tsx,PDF tool,yes,yes,SSR-complete,Delete link annotations while preserving visible text,remove clickable links from a pdf,yes,1,"FAQPage,BreadcrumbList,SoftwareApplication,HowTo",no,4,no,no,unique,consistent,74,90,92,90,86,0,0,Clean - very good scoping transparency
/export-pdf-comments,src/app/export-pdf-comments/page.tsx,PDF tool,yes,yes,SSR-complete,Export PDF review annotations as CSV/JSON,export pdf comments and annotations,yes,1,"FAQPage,BreadcrumbList,SoftwareApplication,HowTo",no,4,no,no,unique,consistent,76,88,90,88,84,0,0,Clean
/pdf-watermark,src/app/pdf-watermark/page.tsx,PDF tool,yes,yes,SSR-complete,Add text/image watermarks to a PDF,add a watermark to a pdf online,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,4,no,no,unique,consistent,85,85,88,85,82,1,0,Verified watermark-permanence claim; carries the site-wide WebApplication+SoftwareApplication duplicate-schema pattern
/image-to-pdf,src/app/image-to-pdf/page.tsx,PDF tool,yes,yes,SSR-complete,Convert images into a single PDF,convert image to pdf online free,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,18-22,no,no,unique (least templated in batch),name drift (layout vs toolMetaMap),78,78,74,62,64,0,1,Duplicate entity naming; SiteFooter imported but never rendered
/scan-to-pdf,src/app/scan-to-pdf/page.tsx,PDF tool,yes,yes,SSR-complete,Camera-capture documents into a multi-page PDF,scan document to pdf with phone,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,16-20,no,no,unique (best-differentiated in batch),consistent,77,81,78,68,68,0,0,"Duplicate schema (lower severity, names match); SiteFooter dead import"
/excel-to-pdf,src/app/excel-to-pdf/page.tsx,PDF tool,yes,yes,SSR-complete,Convert XLSX/XLS/CSV into PDF,convert excel to pdf online,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,16-20,no,no,near-duplicate (converter template cluster),name drift,75,70,26,42,28,1,1,"FALSE claim: cell colors/borders/merges/charts preserved - implementation only extracts raw text, no styling or chart code exists"
/word-to-pdf,src/app/word-to-pdf/page.tsx,PDF tool,yes,yes,SSR-complete,Convert .docx into PDF via mammoth.js,convert word to pdf online,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,18-22,no,no,near-duplicate (converter template cluster),name drift,76,72,34,45,34,0,2,FALSE claim: images/headers/footers preserved - zero image-handling code found; mammoth.js doesn't extract headers/footers by default
/txt-to-pdf,src/app/txt-to-pdf/page.tsx,PDF tool,yes,yes,SSR-complete,Convert plain text into formatted PDF,convert txt to pdf online,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,16-20,no,no,near-duplicate (converter template cluster),name drift,75,78,80,38,58,0,1,Most factually safe converter (no formatting to misrepresent); heavily templated content
/rtf-to-pdf,src/app/rtf-to-pdf/page.tsx,PDF tool,yes,yes,SSR-complete,Convert .rtf into PDF via hand-rolled parser,convert rtf to pdf online,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,16-20,no,no,near-duplicate (converter template cluster),name drift,74,72,30,40,30,1,1,FALSE claim: images preserved - parser explicitly discards pict/shppict control words
/odt-to-pdf,src/app/odt-to-pdf/page.tsx,PDF tool,yes,yes,SSR-complete,Convert .odt into PDF via JSZip parsing,convert odt to pdf online,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,16-20,no,no,near-duplicate (converter template cluster),name drift,74,72,32,40,31,1,1,FALSE claim: tables/images/headers/footers preserved - zero image-handling code despite ODT storing images in a readable Pictures/ folder
/html-to-pdf,src/app/html-to-pdf/page.tsx,PDF tool,yes,yes,SSR-complete,Convert pasted HTML/URL into PDF via html2canvas,convert html or webpage to pdf,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,16-20,no,no,unique (distinct mechanism),name drift,74,76,60,58,54,0,1,"Undisclosed limitation: output is a rasterized screenshot, resulting PDF text is not selectable/searchable"
/ppt-to-pdf,src/app/ppt-to-pdf/page.tsx,PDF tool,yes,yes,SSR-complete,Convert .pptx/.ppt into PDF via JSZip parsing,convert powerpoint to pdf online,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,16-20,no,no,near-duplicate (converter template cluster),name drift,73,58,18,42,20,2,1,"WORST TRUST FINDING: page's own visible disclaimer says ""images are omitted"" while FAQ/metadata/layout-schema all claim images ARE preserved - 4-way self-contradiction on one page"
/pdf-to-word,src/app/pdf-to-word/page.tsx,PDF tool,yes,yes,SSR-complete,AI-assisted PDF to editable Word document,convert pdf to word online,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,18-22,no,no,unique (shares AI-conversion template),name drift,75,72,40,55,42,1,1,"Metadata claims ""No signup required"" but /api/pdf-to-word requires Clerk auth (401 if unauthenticated); undisclosed 60k-char truncation and 5/day cap"
/pdf-to-excel,src/app/pdf-to-excel/page.tsx,PDF tool,yes,yes,SSR-complete,AI-assisted PDF table extraction to Excel,convert pdf table to excel online,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,16-20,no,no,unique (shares AI-conversion template),name drift,75,74,42,55,44,1,1,"Metadata claims ""No signup required"" but /api/pdf-to-excel requires Clerk auth; undisclosed truncation and usage cap"
/pdf-to-images,src/app/pdf-to-images/page.tsx,PDF tool,yes,yes,SSR-complete,Render PDF pages as JPG/PNG/WEBP via PDF.js,convert pdf to jpg or png online,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,18-22,no,no,unique,singular/plural name mismatch,79,82,84,58,68,0,1,Most factually solid converter page - only issue is duplicate schema plus a singular/plural name inconsistency
/pdf-to-ppt,src/app/pdf-to-ppt/page.tsx,PDF tool,yes,yes,SSR-complete,AI-assisted PDF to PowerPoint slide deck,convert pdf to powerpoint online,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,16-20,no,no,"unique (shares AI-conversion template, has copy-paste defect)",name drift,75,66,44,46,36,0,2,"FAQ literally says extracted text is sent ""to rebuild the document as Word"" - leftover copy-paste from pdf-to-word; undisclosed sign-in wall discovered only after upload"
/guides,src/app/guides/page.tsx,category/hub,yes,yes,SSR-complete,Index of all PDF how-to guides,pdf guides and how-to articles,no (appropriate for a hub),1,CollectionPage+ItemList,no,75+,no,no,unique,consistent,85,60,85,90,65,0,0,No visible last-updated date on the hub itself
/guides/how-to-edit-a-pdf-without-adobe,src/lib/guidesData.ts,tutorial,yes,yes,SSR-complete,How to edit a PDF without Adobe Acrobat,how to edit a pdf without adobe,yes,1,"Article,BreadcrumbList",no,75+,yes (org-level),yes,unique,consistent,78,85,78,85,72,0,0,"""Adobe charges $25/month"" stated as hard fact with no citation; missing HowTo schema despite 6 numbered steps"
/guides/how-to-reduce-pdf-file-size,src/lib/guidesData.ts,tutorial,yes,yes,SSR-complete,How compression levels shrink PDF size,how to reduce pdf file size,yes,1,"Article,BreadcrumbList",no,75+,yes,yes,unique,consistent,78,88,68,88,78,0,0,Specific compression percentages (20-90%) stated as fact with no benchmark/methodology source
/guides/how-to-fill-out-a-pdf-form-automatically,src/lib/guidesData.ts,tutorial,yes,yes,SSR-complete,How AI form autofill works,fill pdf form automatically,yes,1,"Article,BreadcrumbList",no,75+,yes,yes,unique,consistent,78,87,75,88,78,0,0,"""Never stored, logged"" privacy claim asserted standalone without linking to /privacy for verification"
/guides/how-to-sign-a-pdf-online,src/lib/guidesData.ts,tutorial,yes,yes,SSR-complete,E-signature legal validity and how to sign,sign pdf online is it legal,yes,1,"Article,BreadcrumbList",no,75+,yes,yes,unique,consistent,78,88,68,90,75,0,1,Named legislation (eIDAS/ESIGN/UETA/UK ECA 2000) with no citations and no clear not-legal-advice disclaimer near the claim
/guides/how-to-make-a-scanned-pdf-searchable,src/lib/guidesData.ts,tutorial,yes,yes,SSR-complete,How OCR makes scanned PDFs searchable,make scanned pdf searchable,yes,1,"Article,BreadcrumbList",no,75+,yes,yes,unique,consistent,78,87,68,87,76,0,0,"""95-99% accuracy at 300 DPI"" unsourced/unbenchmarked; unlinked mentions of PDF to Word/Summarizer/Translator"
/guides/pdf-vs-word-which-format-to-use,src/lib/guidesData.ts,tutorial,yes,yes,SSR-complete,Decision framework for PDF vs Word,pdf vs word which format to use,yes,1,"Article,BreadcrumbList",no,74+,yes,yes,unique (comparison format),consistent,76,90,82,92,82,0,0,"Three in-body tool references are plain text, not hyperlinked"
/guides/how-to-merge-pdf-files,src/lib/guidesData.ts,tutorial,yes,yes,SSR-complete,How to merge PDFs plus native OS alternatives,how to merge pdf files,yes,1,"Article,BreadcrumbList",no,75+,yes,yes,unique (native-tool comparison adds value),consistent,80,90,85,92,83,0,0,"""Extract Pages"" mention unlinked to /extract-pages"
/guides/how-to-redact-sensitive-information-from-a-pdf,src/lib/guidesData.ts,tutorial,yes,yes,SSR-complete,Covering vs true redaction and compliance context,how to redact a pdf,yes,1,"Article,BreadcrumbList",no,75+,yes,yes,unique (strongest guide in batch),consistent,80,92,76,93,80,0,1,Alludes to unnamed "" classified government documents"" redaction failures without sourcing a specific case; GDPR/FOIA framing lacks not-legal-advice disclaimer
/pricing,src/app/pricing/page.tsx,pricing,yes,yes,SSR (client component),Free vs Pro plans and feature comparison,editpdf ai pricing,yes,1,"Product,FAQPage",no,70+,no,no,unique,consistent,75,70,42,88,55,1,1,"CRITICAL: advertised Annual plan (-25%, $9/year) does not exist in the checkout/Stripe implementation and contradicts /terms ""billed monthly"""
/about,src/app/about/page.tsx,trust/legal,yes,yes,SSR-complete,Who EditPDF AI is and how it handles data,is editpdf ai legit,yes,1,none,n/a (zero schema present),9-10,no,no,unique,consistent,68,80,88,92,55,0,0,Zero structured data on a page whose purpose is entity verification; stale comment claims a SiteJsonLd component exists
/contact,src/app/contact/page.tsx,help/support,yes,yes,SSR-complete,Topic-routed contact/support email,contact editpdf ai support,yes,1,ContactPage,"no (unlinked, not literal dup)",70+,n/a,n/a,unique,consistent,78,88,85,90,70,0,0,ContactPage schema doesn't reference homepage's Organization @id - fragments entity graph slightly
/support,src/app/support/page.tsx,help/support,yes,yes,SSR-complete,10-item support FAQ,how do i cancel editpdf ai,yes,1,none,n/a (zero schema present),68+,no,no,real topical overlap w/ pricing+homepage FAQs,consistent,72,88,85,70,50,0,2,Single best FAQPage-schema candidate on the entire site has zero JSON-LD; same questions independently answered in 3 places with no cross-linking
/privacy,src/app/privacy/page.tsx,trust/legal,yes,yes,SSR-complete,Data collection and AI-processing disclosure,does editpdf ai store my files,yes,1,none,n/a,68+,no,yes (Aug 11 2026),unique,consistent,75,90,92,95,62,0,0,MOST FACTUALLY CAREFUL PAGE ON THE SITE - verified accurate against actual AI-route and analytics implementation; only gap is no WebPage schema
/terms,src/app/terms/page.tsx,trust/legal,yes,yes,SSR-complete,Conditions of use/billing/liability/AI disclaimer,editpdf ai terms of service,yes,1,none,n/a,67+,no,yes (Jul 3 2026),unique,consistent,72,85,55,92,58,1,0,"CRITICAL: Section 5 states ""billed monthly"" only, directly contradicting the Annual plan advertised on /pricing"
/dashboard,src/app/dashboard/page.tsx,private/non-indexable,no (noindex confirmed),n/a,n/a,Authenticated account dashboard,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,Correctly noindexed (robots:{index:false}) and gated by middleware.ts auth.protect()
/manage-subscription,src/app/manage-subscription/page.tsx,private/non-indexable,no (noindex confirmed),n/a,n/a,Subscription management for signed-in users,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,Correctly noindexed
/checkout,src/app/checkout/page.tsx,private/non-indexable,no (noindex confirmed),n/a,n/a,Stripe checkout flow,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,"Correctly noindexed; hardcodes ""$1.00/month"" with no billing-interval param passed through - relevant to /pricing's Annual-plan contradiction"
/checkout/confirm,src/app/checkout/confirm/page.tsx,private/non-indexable,no (noindex confirmed),n/a,n/a,Post-checkout confirmation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,Correctly noindexed
/cancel,src/app/cancel/page.tsx,private/non-indexable,no (noindex confirmed),n/a,n/a,Checkout-cancelled landing page,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,Correctly noindexed
/sign-in,src/app/(auth)/sign-in/[[...sign-in]]/page.tsx,private/non-indexable,no (noindex confirmed),n/a,n/a,Clerk sign-in flow,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,Correctly noindexed via (auth) group layout.tsx
/sign-up,src/app/(auth)/sign-up/[[...sign-up]]/page.tsx,private/non-indexable,no (noindex confirmed),n/a,n/a,Clerk sign-up flow,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,Correctly noindexed via (auth) group layout.tsx
