url,issue_type,severity,description,recommended_fix
/ppt-to-pdf,contradictory-information,High,layout.tsx/ToolSEOSection entity-naming drift compounding the images/animations contradiction above.,Consolidate naming to toolMetaMap's canonical name.
/pricing,contradictory-information,Critical,"Annual billing toggle (-25%, ""$0.75/month, billed $9.00/year"") is advertised on-page and in Product JSON-LD, but handleUpgrade() pushes to /checkout without a billing-interval param; /app/checkout/page.tsx hardcodes ""$1.00/month""; server routes (create-subscription, create-setup-intent) reference only a single STRIPE_PRO_PRICE_ID with no annual equivalent anywhere in the codebase. /terms Section 5 independently states ""Pro subscriptions are billed monthly"" with no annual mention. An advertised discount/plan that does not exist in the actual billing implementation - real trust and potential advertised-price/legal risk.","Wire up a real annual Stripe price and pass the interval through checkout end-to-end, OR remove the Annual toggle and its Product JSON-LD offer until implemented; reconcile /terms to match whichever is chosen."
/pricing,requires-expert-review,High,"Live Stripe price amounts cannot be verified from code - STRIPE_PRO_PRICE_ID is an opaque env var, so the displayed $1.00/$9.00 figures are only as good as whatever price object it points to in the Stripe dashboard, outside this codebase's visibility.",Have the site owner confirm the live Stripe price IDs match the advertised $1.00/month figure exactly.
/pricing,outdated-information,Low,"No visible ""last updated"" date for pricing terms/figures on the page itself.",Add a visible last-updated date near the pricing figures.
/terms,contradictory-information,Critical,"Section 5 states flatly ""Pro subscriptions are billed monthly"" with no mention of the Annual option prominently advertised on /pricing - independent textual confirmation of the /pricing Annual-plan contradiction.","Reconcile Terms, Pricing, and the checkout flow so all three agree on what billing options actually exist."
/terms,structured-data-missing,Low,No JSON-LD present at all (same gap as /privacy and /support).,Add a minimal WebPage schema with dateModified.
/terms,outdated-information,Low,"Terms last updated July 3 2026 vs Privacy last updated August 11 2026 - over a month's gap; Privacy's more detailed AI-processing disclosure (Section 2) postdates Terms' more generic AI-output clause (Section 8), an asynchronous-update risk to monitor, not a current contradiction.",Review Terms alongside any future Privacy Policy updates to keep both documents' AI-related sections in sync.
/excel-to-pdf,unsupported-claim,Critical,"whatIs/FAQ claim cell colours, borders, fonts, merged cells, and number formatting are preserved, and charts are rendered at original size/position. Implementation reads cells via XLSX.read with cellText:true only (no cellStyles option) and contains zero chart-parsing code (grep ""chart"" = 0 hits); PDF is rebuilt with a generic user-selected color theme, not source formatting. Only raw cell text survives.","Rewrite claims to state plainly that only cell text/values convert - no styling, no charts, no merged cells - or implement real formatting/chart support before claiming it."
/excel-to-pdf,contradictory-information,High,layout.tsx/ToolSEOSection entity-naming drift (site-wide pattern).,Consolidate naming to toolMetaMap's canonical name.
/excel-to-pdf,repeated-faqs,Medium,"Closing ""is my spreadsheet sent to a server?"" FAQ is a template swap of the same question/answer used verbatim (noun changed) across word-to-pdf, rtf-to-pdf, odt-to-pdf, ppt-to-pdf, txt-to-pdf, html-to-pdf.",Diversify the rhetorical structure across the document-converter cluster or consolidate into a shared trust component.
/rtf-to-pdf,unsupported-claim,Critical,FAQ claims images embedded in the RTF are extracted and placed in the PDF at original positions. The hand-rolled parser explicitly lists 'pict'/'shppict' among control words whose content is discarded during parsing - image data is never rendered.,"Change the FAQ answer to state images are not rendered, only text formatting is preserved, or implement image extraction."
/rtf-to-pdf,contradictory-information,High,layout.tsx/ToolSEOSection entity-naming drift.,Consolidate naming to toolMetaMap's canonical name.
/rtf-to-pdf,repeated-faqs,Medium,Template-identical structure to sibling converter pages.,Same fix as excel-to-pdf's repeated-faqs finding.
/odt-to-pdf,unsupported-claim,Critical,"FAQ claims tables, embedded images, headers, footers, and text formatting all transfer to the PDF. Zero image-handling code exists (grep for .jpg/.png/image/Pictures/ = 0 hits) even though ODT stores images in a readable Pictures/ folder inside the zip that the code never opens.","Correct the claim to reflect that only text/heading/list structure converts, not embedded images/headers/footers."
/odt-to-pdf,contradictory-information,High,layout.tsx/ToolSEOSection entity-naming drift.,Consolidate naming to toolMetaMap's canonical name.
/odt-to-pdf,heading-structure-risk,Low,BlockPreview can render a document-content <h1> alongside the page's own static <h1>ODT to PDF</h1> once a file is loaded - not currently a crawler-visible issue but a future multi-H1 risk if that state ever becomes crawlable.,Downgrade the dynamic preview heading to a styled div/strong instead of a real h1/h2/h3 element.
/word-to-pdf,unsupported-claim,High,"whatIs claims the PDF preserves fonts, tables, images, columns, headers, footers, and page breaks. The HTML-to-block converter only handles h1-h3/lists/tables(flattened to plain pipe-delimited text, not a real grid)/paragraphs - zero img-tag handling anywhere, and mammoth.js does not extract headers/footers by default (a documented library limitation).","Qualify the claim to ""text, headings, lists, and table content"" and drop the images/headers/footers claim, or add real image/header support."
/word-to-pdf,contradictory-information,High,layout.tsx/ToolSEOSection entity-naming drift.,Consolidate naming to toolMetaMap's canonical name.
/word-to-pdf,repeated-faqs,Medium,Same templated closing-FAQ pattern as excel-to-pdf and siblings.,Same fix as excel-to-pdf's repeated-faqs finding.
/pdf-to-word,contradictory-information,Critical,"TOOL_METADATA description (shown in Google snippets/title/meta) states ""No signup required,"" but /api/pdf-to-word/route.ts requires Clerk auth and returns 401 ""Sign in to use AI features"" if unauthenticated - a user cannot complete a conversion without an account.","Remove ""No signup required"" from the metadata, or add a visible sign-in prompt before the user invests time uploading a file."
/pdf-to-word,missing-tool-limitations,Medium,"API silently truncates extracted text to 60,000 characters with no client warning or FAQ disclosure; formats.limit says ""No fixed limit stated,"" which is misleading for long documents. The 5/day free-tier usage cap is also undisclosed, unlike ai-pdf-form-filler/chat-with-pdf which explicitly state their daily limits.",Disclose the truncation limit and daily usage cap in visible copy/FAQ.
/pdf-to-word,contradictory-information,High,layout.tsx/ToolSEOSection entity-naming drift (in addition to the no-signup contradiction above).,Consolidate naming to toolMetaMap's canonical name.
/pdf-to-excel,contradictory-information,Critical,"TOOL_METADATA description states ""No signup required,"" but /api/pdf-to-excel/route.ts requires Clerk auth identically to pdf-to-word (401 if unauthenticated).",Same fix as /pdf-to-word - remove the false claim or surface the sign-in requirement before upload.
/pdf-to-excel,missing-tool-limitations,Medium,"Same undisclosed 60,000-character truncation and misleading ""No fixed limit stated"" formats.limit copy, plus undisclosed 5/day usage cap.",Disclose the truncation limit and daily usage cap in visible copy/FAQ.
/pdf-to-excel,contradictory-information,High,layout.tsx/ToolSEOSection entity-naming drift.,Consolidate naming to toolMetaMap's canonical name.
/quiz-creator,unsupported-claim,Critical,"FAQ/formats.limit claims ""Free: up to 10 questions/session; Pro: up to 50/document,"" but the live UI only offers a flat 5/10/15/20 picker with zero tier differentiation, and /api/quiz-gen/route.ts accepts any questionCount from the client with no server-side tier cap either. The ""up to 50 for Pro"" number does not exist anywhere in the product.","Remove the fabricated tier-based question-count claim from toolSeoData.ts and TOOL_METADATA, or implement real tier differentiation."
/quiz-creator,contradictory-information,Critical,Duplicate WebApplication/SoftwareApplication JSON-LD on one URL.,includeSchema={false} or remove the layout.tsx block.
/quiz-creator,brand-inconsistency,Low,"Names ""Claude"" three times in visible UI copy, unlike sibling AI-tool pages which stay vendor-generic.","Rewrite copy to describe the engine generically as ""AI"" for brand-voice consistency."
/pdf-form-builder,contradictory-information,Critical,"Page displays ""100% Private - Everything runs locally in your browser - nothing leaves your device,"" but the built-in AI Assistant chat panel calls fetch('/api/form-builder-ai', ...), sending chat messages and field metadata to a server-side AI backend - directly contradicting the on-page privacy badge.","Qualify the privacy copy to disclose the AI Assistant sends chat text/field metadata to a backend, or scope the ""100% private"" badge to the non-AI form-building flow only."
/pdf-form-builder,contradictory-information,Critical,Duplicate WebApplication/SoftwareApplication JSON-LD on one URL (in addition to the privacy-claim contradiction above).,Strip layout.tsx's jsonLd block.
/pdf-summarizer,unsupported-claim,High,"FAQ claims ""Pro accounts support unlimited document length,"" but /api/summarize/route.ts hard-truncates every request to 80,000 characters regardless of subscription tier - no length differentiation exists in code, only the flat 5-actions/day usage gate is tier-aware.","Implement the claimed tier-based length differentiation, or correct the copy to state the actual uniform truncation limit."
/pdf-summarizer,contradictory-information,Critical,layout.tsx declares its own WebApplication JSON-LD while ToolSEOSection on the same render also emits SoftwareApplication for the same tool/URL.,includeSchema={false} or remove the layout.tsx block.
/mind-map,unsupported-claim,High,"FAQ claims ""Pro users can process documents of any length,"" but /api/mind-map/route.ts truncates every source to 25,000 characters uniformly for all users - no tier-based length check exists in code.",Implement the claimed differentiation or correct the copy to state the real uniform limit.
/mind-map,contradictory-information,Critical,layout.tsx WebApplication + ToolSEOSection default schema duplication.,includeSchema={false} or remove the layout.tsx block.
/mind-map,brand-inconsistency,Low,"Names ""Claude"" directly in the feature grid (""Claude extracts key ideas and relationships""), unlike sibling AI-tool pages.","Rewrite to describe the engine generically as ""AI."""
/pdf-translator,contradictory-information,Critical,layout.tsx WebApplication + ToolSEOSection default schema duplication.,includeSchema={false} or remove the layout.tsx block.
/pdf-translator,brand-inconsistency,Low,"Hero subtext states ""a clean streaming translation powered by Claude,"" directly naming the vendor, unlike sibling AI-tool pages.","Rewrite to describe the engine generically as ""AI."""
/pdf-ocr,contradictory-information,Critical,layout.tsx WebApplication + ToolSEOSection default schema duplication.,includeSchema={false} or remove the layout.tsx block.
/pdf-ocr,unsupported-claim,Medium,"FAQ states OCR is ""typically 95-99%"" accurate with no cited source/benchmark, and ""100+ languages"" with no enumerated list backing the number (unlike pdf-translator's verified 77-language array).",Soften the claim or source it with an actual benchmark/language list.
/pdf-ocr,brand-inconsistency,Low,"Page names ""Claude"" directly (""Claude AI reads each page,"" ""Tell Claude which language to expect""), unlike sibling AI-tool pages that stay vendor-generic.","Rewrite to describe the engine generically as ""AI""; avoid exposing a swappable implementation detail as a product claim."
/pdf-viewer,contradictory-information,Critical,"layout.tsx renders its own WebApplication JSON-LD while page.tsx's ToolSEOSection (default includeSchema=true) adds a second, disconnected SoftwareApplication plus a redundant duplicate BreadcrumbList for the same URL.",Pass includeSchema={false} to ToolSEOSection (as pdf-editor does) or delete the layout.tsx WebApplication block.
/pdf-viewer,thin-content,Low,page.tsx contributes almost no bespoke heading/body content of its own; all substantive copy comes from the shared ToolSEOSection template.,Add page-specific intro copy rather than relying entirely on the shared template.
/pdf-cropper,contradictory-information,Critical,Same layout.tsx WebApplication + ToolSEOSection default-schema duplication pattern as pdf-viewer.,includeSchema={false} on the ToolSEOSection call or remove the layout.tsx block.
/pdf-cropper,thin-content,Low,Almost no bespoke copy in page.tsx itself; relies entirely on the shared template.,Add page-specific intro copy.
/pdf-compressor,contradictory-information,Critical,layout.tsx declares its own WebApplication JSON-LD while ToolSEOSection on the same render emits SoftwareApplication for the same tool/URL - two competing entity types.,Delete the hand-rolled jsonLd block in layout.tsx (mirror the pdf-page-labels fix already applied elsewhere).
/pdf-merger,contradictory-information,Critical,Duplicate WebApplication (layout.tsx) vs SoftwareApplication (ToolSEOSection) JSON-LD for the same URL.,Remove layout.tsx's hand-rolled jsonLd block.
/pdf-splitter,contradictory-information,Critical,Duplicate WebApplication/SoftwareApplication JSON-LD on one URL - same regressed pattern.,Strip layout.tsx's jsonLd block.
/pdf-signer,contradictory-information,Critical,Duplicate WebApplication/SoftwareApplication JSON-LD on one URL.,Strip layout.tsx's jsonLd block.
/pdf-signer,unsupported-claim,Medium,"FAQ claims e-signatures are ""legally valid under eIDAS (EU), ESIGN Act (US), and equivalent laws worldwide"" with no citation or link to the source regulations.",Link to the actual eIDAS/ESIGN text or an authoritative summary.
/pdf-page-manager,contradictory-information,Critical,Duplicate WebApplication/SoftwareApplication JSON-LD on one URL.,Strip layout.tsx's jsonLd block.
/pdf-page-manager,content-cannibalization,Medium,"Functional overlap with 4 sibling pages (rotate-pdf, delete-pages, extract-pages, add-page-numbers) which this tool bundles together - no page in the cluster explicitly states ""if you only need one operation, use X instead"" beyond generic related-tool links, a real content-cannibalization risk for answer engines choosing which page to cite for a generic query.","Add explicit differentiation copy (e.g. ""use this when you need to combine several page operations in one session"") to pdf-page-manager and its siblings."
/pdf-annotate,no-clear-answer,High,"No descriptive/explanatory text renders above the fullscreen (100vh, overflow:hidden) editor UI. The H1 (""PDF Annotator"") is a 13px toolbar label functioning as a breadcrumb, not a real descriptive heading - the actual whatIs/FAQ content only exists in ToolSEOSection far below the fold.","Add a brief visible intro sentence near the top of the page (above or beside the editor), rather than relying solely on content positioned after a full-viewport interactive tool."
/pdf-annotate,contradictory-information,Critical,Duplicate WebApplication/SoftwareApplication JSON-LD on one URL (in addition to the no-clear-answer issue above).,Strip layout.tsx's jsonLd block.
/rotate-pdf,contradictory-information,Critical,Duplicate WebApplication/SoftwareApplication JSON-LD on one URL.,Strip layout.tsx's jsonLd block.
/rotate-pdf,repeated-faqs,Medium,"whatIs intro and closing ""is my file sent to a server?"" FAQ follow a near-identical template across rotate-pdf, extract-pages, delete-pages, add-page-numbers, and pdf-page-manager.","Vary the rhetorical structure per page, or consolidate the repeated privacy FAQ into a single shared trust-badge component instead of a templated FAQ item on every page."
/extract-pages,contradictory-information,Critical,Duplicate WebApplication/SoftwareApplication JSON-LD on one URL.,Strip layout.tsx's jsonLd block.
/extract-pages,repeated-faqs,Medium,Shares the same templated whatIs/FAQ structure as rotate-pdf/delete-pages/add-page-numbers/pdf-page-manager (good splitter-disambiguation FAQ partially offsets this).,Same fix as rotate-pdf's repeated-faqs finding.
/delete-pages,contradictory-information,Critical,Duplicate WebApplication/SoftwareApplication JSON-LD on one URL.,Strip layout.tsx's jsonLd block.
/delete-pages,repeated-faqs,Medium,Same templated-cluster pattern as rotate-pdf/extract-pages/add-page-numbers/pdf-page-manager.,Same fix as rotate-pdf's repeated-faqs finding.
/add-page-numbers,contradictory-information,Critical,Duplicate WebApplication/SoftwareApplication JSON-LD on one URL.,Strip layout.tsx's jsonLd block.
/add-page-numbers,repeated-faqs,Medium,"Shares templated whatIs/FAQ structure with rotate-pdf/extract-pages/delete-pages/pdf-page-manager, though it has the batch's best differentiation practice (explicit cross-reference vs pdf-page-labels).",Same fix as rotate-pdf's repeated-faqs finding.
/image-to-pdf,contradictory-information,High,"layout.tsx's own WebApplication JSON-LD name (""Image to PDF Converter"") differs from ToolSEOSection's SoftwareApplication name (""Image to PDF"" via toolMetaMap) - a second, independently-authored entity description.","Consolidate to one entity description, ideally reusing toolMetaMap's name/desc in both places."
/image-to-pdf,orphan-content,Low,SiteFooter is imported but never rendered in the JSX - footer-level internal links are absent even though the import suggests they were intended.,Remove the dead import or actually render the footer.
/scan-to-pdf,contradictory-information,Medium,WebApplication (layout.tsx) and SoftwareApplication (ToolSEOSection) JSON-LD both describe this page as a separate software entity - lower severity here only because the names happen to match.,"Consolidate to a single schema source, same fix pattern as the rest of the site."
/scan-to-pdf,orphan-content,Low,SiteFooter imported but not rendered (dead import).,Remove the dead import or render the footer.
/txt-to-pdf,contradictory-information,High,layout.tsx/ToolSEOSection entity-naming drift.,Consolidate naming to toolMetaMap's canonical name.
/txt-to-pdf,content-uniqueness,Medium,"whatIs/FAQ prose is a near-verbatim template swap of rtf-to-pdf/odt-to-pdf/word-to-pdf/excel-to-pdf (same sentence structure, same closing Q&A) - low differentiation value for an answer engine choosing between these pages.",Write genuinely distinct intro/FAQ prose per converter rather than a noun-swapped template.
/html-to-pdf,missing-tool-limitations,Medium,"The primary conversion path rasterizes the rendered HTML via html2canvas and embeds it as a JPEG per page - resulting PDF text is not selectable/searchable. Neither the FAQ nor whatIs discloses this; ""pixel-perfect PDF"" implies more fidelity/functionality than delivered.","Add an FAQ entry clarifying the output is image-based, not vector/selectable text."
/html-to-pdf,contradictory-information,High,layout.tsx/ToolSEOSection entity-naming drift.,Consolidate naming to toolMetaMap's canonical name.
/pdf-to-images,contradictory-information,High,"layout.tsx/ToolSEOSection entity-naming drift, plus a singular/plural mismatch (""PDF to Image Converter"" vs toolMetaMap's ""PDF to Images"") not present on other pages.","Pick one canonical name (plural, matching toolMetaMap) and use it in both JSON-LD blocks."
/pdf-to-ppt,repeated-faqs,Medium,"toolSeoData FAQ closing answer literally reads ""...sent to the AI to rebuild the document as Word"" - a copy-paste artifact from pdf-to-word's FAQ that was never updated for this page.","Change ""as Word"" to ""as a presentation"" in the pdf-to-ppt FAQ entry."
/pdf-to-ppt,missing-tool-limitations,High,"No ""no signup required"" claim exists in TOOL_METADATA for this page, but the API still requires Clerk sign-in plus a 5/day free-tier cap, and neither is disclosed anywhere in visible copy or FAQ - users only discover the sign-in wall after uploading and waiting through extraction.","Disclose the sign-in requirement and daily usage cap in visible copy before the user uploads, matching how ai-pdf-form-filler/chat-with-pdf disclose their limits."
/pdf-to-ppt,contradictory-information,High,layout.tsx/ToolSEOSection entity-naming drift.,Consolidate naming to toolMetaMap's canonical name.
/,outdated-information,Medium,"about/page.tsx's code comment claims Organization JSON-LD is rendered by a <SiteJsonLd/> component ""in the root layout"" - no such component exists anywhere in src/; the entity graph actually lives entirely inline in the homepage's own script tags.","Correct the stale comment, or better, extract a real <SiteJsonLd/> component into the root layout as the comment describes and have every page reference it."
/,contradictory-information,Low,"Homepage Organization schema's sameAs lists www.trustpilot.com/review/editpdfai.com, while SiteFooter (rendered on the same page) links to nz.trustpilot.com/review/editpdfai.com - two different Trustpilot domains for the same entity.",Standardize on one Trustpilot URL across both the schema and the footer link.
/,missing-tool-limitations,Medium,"The full tool-catalogue grid (HomeAllTools) and the product demo (HomeScroll) are wrapped in next/dynamic(...,{ssr:false}) - entirely absent from server HTML, visible only after an IntersectionObserver fires client-side. Crawlers/answer-engines that don't execute JS or scroll-trigger miss this content and its links.","Server-render at minimum the tool link list (even if the interactive demo stays client-only), so the full tool catalogue is present in initial HTML."
/about,structured-data-missing,Medium,"Zero JSON-LD of any kind on this page - a direct consequence of the stale ""<SiteJsonLd/> in root layout"" comment (see homepage finding); a page whose whole purpose is entity/trust verification has no machine-readable entity data.","Once a real site-wide SiteJsonLd component exists (or is correctly documented as homepage-only), ensure /about references the same Organization @id, or add its own AboutPage/WebPage schema."
/about,no-clear-answer,Low,"No visible ""last reviewed"" date despite being a trust page where recency of company information matters.",Add a visible last-updated date near the top of the page.
/contact,contradictory-information,Low,"ContactPage/Organization JSON-LD block doesn't reference the homepage's Organization @id (https://www.editpdfai.com/#organization) - a standalone, unlinked description of the same entity, fragmenting the entity graph.",Reference the homepage's Organization @id from the ContactPage schema instead of re-describing the org separately.
/support,structured-data-missing,High,Page has 10 ready-made FAQ Q&A pairs (a textbook FAQPage schema candidate) and zero JSON-LD of any kind - support/layout.tsx sets metadata only.,Add FAQPage schema to support/layout.tsx mirroring the FAQS array already defined in page.tsx.
/support,repeated-faqs,High,"Cancellation policy, ""what counts as an AI use,"" and ""are files uploaded"" are independently answered (different wording, same substance) across /support, /pricing, and the homepage SiteFAQ, with no cross-linking to establish one canonical answer - increases risk of the answers drifting out of sync.","Establish one canonical FAQ source per question and cross-link the other pages to it, or explicitly scope each page's FAQ to non-overlapping questions."
/support,outdated-information,Low,No visible last-reviewed date on the page.,Add a visible last-updated date near the H1.
/privacy,structured-data-missing,Low,"No WebPage/legal schema present (low priority - no dedicated PrivacyPolicy schema type exists), but a WebPage block with dateModified matching the visible ""Last updated"" date would reinforce the freshness signal machine-readably.",Add a minimal WebPage JSON-LD block with dateModified matching the visible date.
/privacy,no-clear-answer,Low,"No named individual/DPO contact for privacy-rights requests, only a generic support@ email - acceptable but weaker for GDPR Article 13-style ""identity of controller"" expectations at scale.",Consider naming a designated privacy contact if the business reaches a scale where this becomes material.
/guides,outdated-information,Low,"No visible last-updated/date on the guides hub page itself (only per-card readTime, not a date).","Add a visible ""last updated"" indicator to the hub page."
/guides/how-to-edit-a-pdf-without-adobe,unsupported-claim,Medium,"""Adobe Acrobat charges $25 per month"" is stated as a hard fact with no citation - Adobe's actual pricing varies by plan/region and changes over time.","Source the figure or soften to ""around $20-25/month depending on plan,"" with a link to Adobe's current pricing page."
/guides/how-to-edit-a-pdf-without-adobe,structured-data-missing,Low,"Content is a numbered 6-step how-to but only Article schema is used - no HowTo type, missing an opportunity for step-level answer-engine extraction.",Add HowTo schema alongside Article for all step-shaped guides.
/guides/how-to-edit-a-pdf-without-adobe,outdated-information,Low,datePublished == dateModified (2026-07-19) - zero freshness signal in ~4 weeks.,Not currently a defect; monitor and update dateModified when the guide content is actually revised.
/guides/how-to-reduce-pdf-file-size,unsupported-claim,Medium,"Specific compression percentages (""20-40% Light,"" ""40-70% Balanced,"" ""60-90% Maximum"") and DPI/quality numbers are stated as fact with no benchmark/methodology disclosed.","Add a footnote on how these figures were derived (internal testing, sample corpus), or hedge the language to ""typical"" ranges."
/guides/how-to-reduce-pdf-file-size,structured-data-missing,Low,Missing HowTo schema despite step-shaped content.,Add HowTo schema alongside Article.
/guides/how-to-fill-out-a-pdf-form-automatically,unsupported-claim,Low,"""Your data is never stored, logged, or used for any other purpose"" is asserted standalone without linking to /privacy for verification - slightly more absolute than the Privacy Policy's own careful wording.",Link to /privacy to substantiate the claim rather than asserting it standalone.
/guides/how-to-fill-out-a-pdf-form-automatically,structured-data-missing,Low,Missing HowTo schema despite step-shaped content.,Add HowTo schema alongside Article.
/guides/how-to-sign-a-pdf-online,unsupported-claim,High,"Legal claims about e-signature validity under eIDAS, ESIGN Act, UETA, and UK ECA 2000 are stated as fact with no citations/links to the actual statutes, and no clear ""not legal advice"" disclaimer near the claim (caveat is buried in a separate paragraph). Compliance-adjacent content with real accuracy risk if wrong.","Link to authoritative sources (eur-lex.europa.eu, congress.gov, etc.) for each named law, and add a clear not-legal-advice disclaimer near the claim itself."
/guides/how-to-sign-a-pdf-online,structured-data-missing,Low,Missing HowTo schema despite 7 numbered steps.,Add HowTo schema alongside Article.
/guides/how-to-make-a-scanned-pdf-searchable,unsupported-claim,Medium,"""Printed text in standard fonts achieves 95-99% accuracy at 300 DPI"" is a precise statistic with no benchmark source or methodology.","Source the figure with internal test results, or hedge the language."
/guides/how-to-make-a-scanned-pdf-searchable,internal-links-missing,Low,"In-body mentions of ""PDF to Word"" and ""AI summarisation or translation"" are plain text, not hyperlinked - missed internal-linking opportunity to /pdf-to-word, /pdf-summarizer, /pdf-translator.",Convert the plain-text mentions to real Link components.
/guides/pdf-vs-word-which-format-to-use,internal-links-missing,Low,"Three in-body tool references (word-to-pdf, pdf-to-word, pdf-ocr) are plain-text URLs, not real Link components, unlike the properly-linked tool CTA on the same page.",Convert to real Link components for crawlability and UX consistency.
/guides/how-to-merge-pdf-files,internal-links-missing,Low,"""Extract Pages"" mention in-body is plain text, not linked to /extract-pages.",Convert to a real Link component.
/guides/how-to-redact-sensitive-information-from-a-pdf,unsupported-claim,Medium,"Alludes to ""real privacy failures in high-profile cases - including classified government documents"" where redacted text was recoverable by selecting it, without naming or sourcing any specific documented incident.","Cite a specific, verifiable documented incident, or soften to avoid implying an unverified specific claim."
/guides/how-to-redact-sensitive-information-from-a-pdf,requires-expert-review,Low,"GDPR/FOIA compliance framing (""must be removed,"" ""exempt information must be permanently removed"") is presented with legal-sounding certainty without a disclaimer that this isn't legal/compliance advice.",Add a brief not-legal-advice disclaimer near the compliance framing.
